,katran,ebpf-ratelimiter-main,ingress-node-firewall-master,bpf-filter-master,cilium,bcc,xdp-mptm-main,ebpf-samples,katran_count,ebpf-ratelimiter-main_count,ingress-node-firewall-master_count,bpf-filter-master_count,cilium_count,bcc_count,xdp-mptm-main_count,ebpf-samples_count
map_fd [3],[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
rl_recv_count_map,[],"[['/home/palani/github/opened_extraction/examples/ebpf-ratelimiter-main/ratelimiting_kern.c'], ['/home/palani/github/opened_extraction/examples/ebpf-ratelimiter-main/ratelimiting_kern.c'], ['/home/palani/github/opened_extraction/examples/ebpf-ratelimiter-main/transformed/ratelimiting_kern-TC.c'], ['/home/palani/github/opened_extraction/examples/ebpf-ratelimiter-main/transformed/ratelimiting_kern-TC.c']]",[],[],[],[],[],[],0,4,0,0,0,0,0,0
VTEP_MAP,[],[],[],[],"[['/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_overlay.c'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_host.c'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_overlay.c'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_lxc.c']]",[],[],[],0,0,0,0,4,0,0,0
rl_config_map,[],"[['/home/palani/github/opened_extraction/examples/ebpf-ratelimiter-main/ratelimiting_kern.c'], ['/home/palani/github/opened_extraction/examples/ebpf-ratelimiter-main/ratelimiting_kern.c'], ['/home/palani/github/opened_extraction/examples/ebpf-ratelimiter-main/transformed/ratelimiting_kern-TC.c'], ['/home/palani/github/opened_extraction/examples/ebpf-ratelimiter-main/transformed/ratelimiting_kern-TC.c']]",[],[],[],[],[],[],0,4,0,0,0,0,0,0
SRV6_VRF_MAP6,[],[],[],[],[['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/egress_policies.h']],[],[],[],0,0,0,0,1,0,0,0
LB6_SERVICES_MAP_V2,[],[],[],[],"[['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/lb.h'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/lb.h']]",[],[],[],0,0,0,0,2,0,0,0
LB4_HEALTH_MAP,[],[],[],[],"[['/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_sock.c'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nodeport.h']]",[],[],[],0,0,0,0,2,0,0,0
map_fd[1],[],[],[],[],[],[],[],[['/home/palani/github/palanik1/ebpf-projects-annotations/projects/ebpf-samples/original_source/badmapptr.c']],0,0,0,0,0,0,0,1
LB4_SRC_RANGE_MAP,[],[],[],[],[['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/lb.h']],[],[],[],0,0,0,0,1,0,0,0
LB6_AFFINITY_MAP,[],[],[],[],[['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/lb.h']],[],[],[],0,0,0,0,1,0,0,0
IP_MASQ_AGENT_IPV4,[],[],[],[],[['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nodeport.h']],[],[],[],0,0,0,0,1,0,0,0
lru_mapping,[['/home/palani/github/ebpf-projects-annotations/examples/katran/balancer_kern.c']],[],[],[],[],[],[],[],1,0,0,0,0,0,0,0
LB_AFFINITY_MATCH_MAP,[],[],[],[],"[['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/lb.h'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/lb.h']]",[],[],[],0,0,0,0,2,0,0,0
CIDR6_LMAP_NAME,[],[],[],[],[['/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_xdp.c']],[],[],[],0,0,0,0,1,0,0,0
LB4_SERVICES_MAP_V2,[],[],[],[],"[['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/lb.h'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/lb.h']]",[],[],[],0,0,0,0,2,0,0,0
prev_prog_map_fd,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
rl_ports_map,[],"[['/home/palani/github/opened_extraction/examples/ebpf-ratelimiter-main/transformed/ratelimiting_kern-TC.c'], ['/home/palani/github/opened_extraction/examples/ebpf-ratelimiter-main/transformed/ratelimiting_kern-TC.c']]",[],[],[],[],[],[],0,2,0,0,0,0,0,0
map + 1,[],[],[],[],"[['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/conntrack.h'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/conntrack.h'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/conntrack.h'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/conntrack.h'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/conntrack.h'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/conntrack.h'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/conntrack.h'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nat.h'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/conntrack.h'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/conntrack.h'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/conntrack.h'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/conntrack.h'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/eps.h'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/eps.h'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/policy.h'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/policy.h']]",[],[],"[['/home/palani/github/palanik1/ebpf-projects-annotations/projects/ebpf-samples/original_source/badmapptr.c'], ['/home/palani/github/palanik1/ebpf-projects-annotations/projects/ebpf-samples/original_source/twotypes.c'], ['/home/palani/github/palanik1/ebpf-projects-annotations/projects/ebpf-samples/original_source/mapvalue-overrun.c'], ['/home/palani/github/palanik1/ebpf-projects-annotations/projects/ebpf-samples/original_source/twomaps.c']]",0,0,0,0,16,0,0,4
